rank,name,industry,location,year_founded,career_url
1,Whatnot,Retail,"Los Angeles, California",2019,https://www.whatnot.com/careers
2,Billd,Finance,"Austin, Texas",2018,https://www.billd.com/careers
3,Cribl,Business Products & Software Services,"San Francisco, California",2018,https://cribl.io/jobs/
4,Deel,Business Products & Software Services,"San Francisco, California",2018,https://www.deel.com/careers
5,Pacaso,Real Estate,"San Francisco, California",2020,https://www.pacaso.com/careers
6,Anthropic,Technology,"San Francisco, California",2021,https://www.anthropic.com/careers
7,Atrium,Technology,"Bozeman, Montana",2018,https://www.atriumhq.com/careers
8,Hightouch,Business Products & Software Services,"San Francisco, California",2018,https://hightouch.com/careers
9,Colossal Biosciences,Biotechnology & Agriculture,"Dallas, Texas",2021,https://colossal.com/careers/
10,Ramp,Finance,"New York, New York",2019,https://ramp.com/careers
11,Anyscale,Technology,"San Francisco, California",2019,https://www.anyscale.com/careers
12,Cedar,Healthcare,"New York, New York",2016,https://cedar.com/careers
13,Attentive.ai,Business Products & Software Services,"Wilmington, Delaware",2017,https://www.attentive.com/careers
14,Otter.ai,Technology,"Mountain View, California",2016,https://otter.ai/careers
15,BigID,Security,"New York, New York",2016,https://bigid.com/careers/
16,Steadily,Finance,"Austin, Texas",2020,https://www.steadily.com/careers
17,TestMu AI,Business Products & Software Services,"San Francisco, California",2017,https://www.lambdatest.com/careers
18,VAST Data,Technology,"New York, New York",2016,https://www.vastdata.com/careers
19,Anduril Industries,Robotics/Engineering,"Los Angeles, California",2017,https://www.anduril.com/careers/
20,Spendbase,Business Products & Software Services,"Lewes, Delaware",2023,https://spendbase.co/careers
21,Contentstack,Business Products & Software Services,"San Francisco, California",2018,https://www.contentstack.com/company/careers
22,Harness,Business Products & Software Services,"San Francisco, California",2016,https://www.harness.io/company/careers
23,Accrete AI,Technology,"New York, New York",2017,https://accrete.ai/careers
24,Ethena,Business Products & Software Services,"New York, New York",2019,https://www.ethena.com/careers
25,Faire,Retail,"San Francisco, California",2017,https://www.faire.com/careers
26,Ergeon,Real Estate,"San Francisco, California",2018,https://www.ergeon.com/careers
